date,open,high,low,close,volume
2026-01-01,100,101,99,100,1000
2026-01-02,100,102,99,101,1100
2026-01-03,101,103,100,102,1200
2026-01-04,102,104,101,103,1250
2026-01-05,103,105,102,104,1300
2026-01-06,104,106,103,105,1350
2026-01-07,105,107,104,106,1400
2026-01-08,106,108,105,107,1450
2026-01-09,107,109,106,108,1500
2026-01-10,108,110,107,109,1550
2026-01-11,109,110,105,106,1600
2026-01-12,106,107,102,103,1650
2026-01-13,103,104,100,101,1700
2026-01-14,101,102,98,99,1750
2026-01-15,99,101,97,100,1800
2026-01-16,100,103,99,102,1850
2026-01-17,102,105,101,104,1900
2026-01-18,104,107,103,106,1950
2026-01-19,106,109,105,108,2000
2026-01-20,108,111,107,110,2050
2026-01-21,110,113,109,112,2100
2026-01-22,112,115,111,114,2150
2026-01-23,114,116,112,113,2200
2026-01-24,113,114,110,111,2250
2026-01-25,111,112,108,109,2300
2026-01-26,109,110,106,107,2350
2026-01-27,107,109,105,108,2400
2026-01-28,108,111,107,110,2450
2026-01-29,110,113,109,112,2500
2026-01-30,112,116,111,115,2550
